name,mobile,email,password,taluka,district
Ashok Kulkarni,6720150064,ashokkulkarni3@nexora.in,farm123,Lohara,Dharashiv (Osmanabad)
Laxman Rasal,6966565592,laxmanrasal@nexora.in,farm123,Pandharpur,Solapur
Deepak Kale,7472770183,deepakkale@nexora.in,farm123,Bandra,Mumbai Suburban
Usha Vibhute,8498444980,ushavibhute@nexora.in,farm123,Daryapur,Amravati
Chandrakant Nikam,7085324021,chandrakantnik2@nexora.in,farm123,Nevasa,Ahilyanagar (Ahmednagar)
Vinod Tupe,6770280667,vinodtupe@nexora.in,farm123,Ajra,Kolhapur
Dilip Mahajan,7463197722,dilipmahajan@nexora.in,farm123,Chandwad,Nashik
Anil Shelke,9612550219,anilshelke@nexora.in,farm123,Salekasa,Gondia
Sanjay Nalawade,9214316481,sanjaynalawade@nexora.in,farm123,Thane,Thane
Vithal Jare,9687136947,vithaljare@nexora.in,farm123,Sironcha,Gadchiroli
Rajesh Yadav,9380561852,rajeshyadav@nexora.in,farm123,Sakri,Dhule
Prakash Suryawanshi,7969746129,prakashsuryawa@nexora.in,farm123,Bandra,Mumbai Suburban
Sachin Naikwadi,8474999548,sachinnaikwadi@nexora.in,farm123,Solapur North,Solapur
Krushna Kachare,6918262495,krushnakachare@nexora.in,farm123,Chikhli,Buldhana
Deepak Rane,7097724796,deepakrane@nexora.in,farm123,Khuldabad,Chhatrapati Sambhajinagar (Aurangabad)
Madhukar Bansode,7884751369,madhukarbansod@nexora.in,farm123,Kurla,Mumbai Suburban
Anand Adsul,6152246717,anandadsul@nexora.in,farm123,Amgaon,Gondia
Eknath Bhosale,9330821157,eknathbhosale@nexora.in,farm123,Osmanabad,Dharashiv (Osmanabad)
Bharat Khedkar,6209404860,bharatkhedkar@nexora.in,farm123,Korpana,Chandrapur
Govind Bhagat,7564783071,govindbhagat3@nexora.in,farm123,Bhamragad,Gadchiroli
Ganesh Ohol,7490651467,ganeshohol@nexora.in,farm123,Sakri,Dhule
Sachin Powar,8105793947,sachinpowar@nexora.in,farm123,Kalameshwar,Nagpur
Sachin Landge,8311789807,sachinlandge@nexora.in,farm123,Jalgaon Jamod,Buldhana
Bandu Yadav,6426480753,banduyadav@nexora.in,farm123,Jalna,Jalna
Mangal Sable,7838738511,mangalsable@nexora.in,farm123,Desaiganj,Gadchiroli
Manisha Chougule,7322197127,manishachougul@nexora.in,farm123,Darwha,Yavatmal
Raghunath Wagh,6587842233,raghunathwagh@nexora.in,farm123,Shirpur,Dhule
Raghunath Hande,9305200907,raghunathhande@nexora.in,farm123,Koregaon,Satara
Govind Rathod,8808183779,govindrathod@nexora.in,farm123,Uran,Raigad
Sunil Zende,6036156305,sunilzende@nexora.in,farm123,Kagal,Kolhapur
Milind Lokhande,6138707498,milindlokhande2@nexora.in,farm123,Poladpur,Raigad
Vijay Pawar,7813887243,vijaypawar@nexora.in,farm123,Lonar,Buldhana
Namdev Damle,7610608699,namdevdamle@nexora.in,farm123,Parbhani,Parbhani
Vandana Jadhav,6855920701,vandanajadhav@nexora.in,farm123,Malshiras,Solapur
Bapurao Holkar,9789373073,bapuraoholkar@nexora.in,farm123,Ambarnath,Thane
Hanumant Kachare,6510554960,hanumantkachar2@nexora.in,farm123,Sudhagad-Pali,Raigad
Sushila Rasal,9316120073,sushilarasal@nexora.in,farm123,Pauni,Bhandara
Vishal Gadhave,7349503624,vishalgadhave@nexora.in,farm123,Khed,Ratnagiri
Popat Sable,9924188978,popatsable@nexora.in,farm123,Mohadi,Bhandara
Vinod Ohol,7717814166,vinodohol@nexora.in,farm123,Georai,Beed
Kiran Sathe,9079947431,kiransathe@nexora.in,farm123,Dodamarg,Sindhudurg
Vishal Lokhande,8652896481,vishallokhande@nexora.in,farm123,Gangapur,Chhatrapati Sambhajinagar (Aurangabad)
Rekha Deshmukh,8260341732,rekhadeshmukh@nexora.in,farm123,Bhiwandi,Thane
Sunanda Patil,6451831955,sunandapatil2@nexora.in,farm123,Salekasa,Gondia
Anil Rasal,8767675328,anilrasal@nexora.in,farm123,Mohadi,Bhandara
Anand Vibhute,6581410005,anandvibhute@nexora.in,farm123,Khandala,Satara
Swati Yeole,9351330875,swatiyeole@nexora.in,farm123,Fort,Mumbai City
Sunil Patil,9166307569,sunilpatil@nexora.in,farm123,Rahuri,Ahilyanagar (Ahmednagar)
Rajesh Fadnavis,8883437108,rajeshfadnavis3@nexora.in,farm123,Kurla,Mumbai Suburban
Usha Ohol,9371729169,ushaohol@nexora.in,farm123,Rahata,Ahilyanagar (Ahmednagar)
Nanda Salunkhe,7361962931,nandasalunkhe@nexora.in,farm123,Mehkar,Buldhana
Meera Fadnavis,6080493291,meerafadnavis@nexora.in,farm123,Gadchiroli,Gadchiroli
Sunanda Kachare,8436444573,sunandakachare@nexora.in,farm123,Chakur,Latur
Ramchandra Gadhave,7459129125,ramchandragadh@nexora.in,farm123,Ajra,Kolhapur
Ashok Jare,8568267849,ashokjare@nexora.in,farm123,Ausa,Latur
Sadashiv Chougule,8510744580,sadashivchougu@nexora.in,farm123,Bhiwapur,Nagpur
Raghunath Sathe,8068628579,raghunathsathe2@nexora.in,farm123,Korchi,Gadchiroli
Amol Hande,7194880622,amolhande@nexora.in,farm123,Sindkheda,Dhule
Kailas Takawale,7143727151,kailastakawale@nexora.in,farm123,Gondpimpri,Chandrapur
Dilip Vibhute,8095003706,dilipvibhute@nexora.in,farm123,Karanja,Wardha
Balasaheb Wagh,6249253588,balasahebwagh@nexora.in,farm123,Hingoli,Hingoli
Sachin Gawali,8146795088,sachingawali@nexora.in,farm123,Niphad,Nashik
Nitin Kulkarni,6524570626,nitinkulkarni@nexora.in,farm123,Badnapur,Jalna
Shobha Nikam,6141989418,shobhanikam@nexora.in,farm123,Bhor,Pune
Vimal Bansode,6985289584,vimalbansode@nexora.in,farm123,Rahuri,Ahilyanagar (Ahmednagar)
Rajendra Gawali,6506143224,rajendragawali2@nexora.in,farm123,Parbhani,Parbhani
Vinod Gawali,7501467619,vinodgawali2@nexora.in,farm123,Lakhandur,Bhandara
Neelam Ubale,6638104619,neelamubale@nexora.in,farm123,Andheri,Mumbai Suburban
Maruti Satpute,7742641311,marutisatpute@nexora.in,farm123,Pombhurna,Chandrapur
Ashok Adsul,7329201514,ashokadsul@nexora.in,farm123,Renapur,Latur
Jagdish Zaware,8340740719,jagdishzaware@nexora.in,farm123,Hingoli,Hingoli
Pravin Joshi,6853693938,pravinjoshi@nexora.in,farm123,Dharni,Amravati
Manisha Sathe,7245388952,manishasathe@nexora.in,farm123,Malegaon,Nashik
Shankar Lokhande,7442737781,shankarlokhand@nexora.in,farm123,Parola,Jalgaon
Krushna Ohol,6555680791,krushnaohol@nexora.in,farm123,Bhadgaon,Jalgaon
Sachin Shelke,8231686820,sachinshelke@nexora.in,farm123,Karjat,Raigad
Raghunath Bhagat,6185278948,raghunathbhaga@nexora.in,farm123,Nanded,Nanded
Rahul Solanke,6931251672,rahulsolanke2@nexora.in,farm123,Dhule,Dhule
Usha Rasal,8318722363,usharasal@nexora.in,farm123,Deoli,Wardha
Yogesh Deshpande,8855170459,yogeshdeshpand@nexora.in,farm123,Bodwad,Jalgaon
Pandurang Vhatkar,9949786379,pandurangvhatk@nexora.in,farm123,Saoli,Chandrapur
Chandrakant Dhumal,9153083573,chandrakantdhu@nexora.in,farm123,Rajapur,Ratnagiri
Bharat Gadhave,8336797872,bharatgadhave@nexora.in,farm123,Vada,Palghar
Bandu Mane,7142043777,bandumane@nexora.in,farm123,Samudrapur,Wardha
Vishal Gaikwad,8532388891,vishalgaikwad2@nexora.in,farm123,Dodamarg,Sindhudurg
Pandurang Sathe,6562532595,pandurangsathe@nexora.in,farm123,Navapur,Nandurbar
Sunil Mane,7212040476,sunilmane@nexora.in,farm123,Solapur North,Solapur
Sarika Nalawade,7774454703,sarikanalawade@nexora.in,farm123,Balapur,Akola
Sushila Adsul,9314908323,sushilaadsul@nexora.in,farm123,Ashti,Beed
Pooja Waghmare,9017569771,poojawaghmare@nexora.in,farm123,Gondpimpri,Chandrapur
Ravindra Waghmare,9072096460,ravindrawaghma@nexora.in,farm123,Basmath,Hingoli
Govind Vibhute,9530396392,govindvibhute@nexora.in,farm123,Himayatnagar,Nanded
Sindhu Damle,8606223366,sindhudamle@nexora.in,farm123,Mahabaleshwar,Satara
Vijay Kulkarni,6427779332,vijaykulkarni2@nexora.in,farm123,Chandgad,Kolhapur
Vishal Zende,7995891225,vishalzende@nexora.in,farm123,Vengurla,Sindhudurg
Sunil Borate,6967755891,sunilborate@nexora.in,farm123,Dapoli,Ratnagiri
Sunanda Vhatkar,9221920812,sunandavhatkar@nexora.in,farm123,Fort,Mumbai City
Dattatray Chavan,8921144380,dattatraychava@nexora.in,farm123,Vaibhavwadi,Sindhudurg
Sachin Deshpande,8635084703,sachindeshpand@nexora.in,farm123,Radhanagari,Kolhapur
Meera Rathod,6078386341,meerarathod@nexora.in,farm123,Basmath,Hingoli
Bandu Adsul,6850971571,banduadsul@nexora.in,farm123,Nandgaon Khandeshwar,Amravati
Sindhu Bhosale,6999953154,sindhubhosale@nexora.in,farm123,Mangrulpir,Washim
Ravindra Bhagat,6592993000,ravindrabhagat@nexora.in,farm123,Kalyan,Thane
Usha Ubale,7701215368,ushaubale@nexora.in,farm123,Gadhinglaj,Kolhapur
Swati Kachare,6602437602,swatikachare@nexora.in,farm123,Ghansawangi,Jalna
Vishal Sathe,9756563841,vishalsathe@nexora.in,farm123,Raver,Jalgaon
Namdev Patil,6825107978,namdevpatil@nexora.in,farm123,Jamkhed,Ahilyanagar (Ahmednagar)
Pandurang Ohol,8862314390,pandurangohol@nexora.in,farm123,Shirala,Sangli
Madhuri Ubale,8433180676,madhuriubale2@nexora.in,farm123,Tasgaon,Sangli
Kiran Gadhave,6821919072,kirangadhave@nexora.in,farm123,Maan,Satara
Lata Joshi,6566204534,latajoshi@nexora.in,farm123,Mahur,Nanded
Rajendra Deshmukh,8918803781,rajendradeshmu@nexora.in,farm123,Hatkanangale,Kolhapur
Keshav Dhumal,9731991121,keshavdhumal@nexora.in,farm123,Shahapur,Thane
Dattatray Hiwale,8272060340,dattatrayhiwal@nexora.in,farm123,Tiroda,Gondia
Jagdish Hande,9373094723,jagdishhande@nexora.in,farm123,Nagpur Rural,Nagpur
Lata Nikam,8574640149,latanikam@nexora.in,farm123,Mokhada,Palghar
Tukaram Naikwadi,7226340750,tukaramnaikwad@nexora.in,farm123,Kalamnuri,Hingoli
Jagdish Shinde,8490747309,jagdishshinde@nexora.in,farm123,Nandura,Buldhana
Kiran Mane,6316019407,kiranmane@nexora.in,farm123,Wadwani,Beed
Bharat Jadhav,9356450748,bharatjadhav@nexora.in,farm123,Bhandara,Bhandara
Bharat Shinde,9414039920,bharatshinde@nexora.in,farm123,Guhagar,Ratnagiri
Lata Rane,8204112237,latarane@nexora.in,farm123,Arvi,Wardha
Suresh Solanke,8555118841,sureshsolanke@nexora.in,farm123,Shirur Anantpal,Latur
Sunita Ghadge,8366452330,sunitaghadge@nexora.in,farm123,Shirala,Sangli
Kailas Dhumal,8137034799,kailasdhumal@nexora.in,farm123,Nevasa,Ahilyanagar (Ahmednagar)
Sachin Rathod,7064645514,sachinrathod@nexora.in,farm123,Morshi,Amravati
Dnyaneshwar Yadav,7672668460,dnyaneshwaryad@nexora.in,farm123,Ralegaon,Yavatmal
Shobha Powar,8568158801,shobhapowar@nexora.in,farm123,Nandurbar,Nandurbar
Popat Waghmare,6292075085,popatwaghmare@nexora.in,farm123,Baramati,Pune
Meera Salunkhe,9320789897,meerasalunkhe@nexora.in,farm123,Shrivardhan,Raigad
Uttam Mhaske,7657218123,uttammhaske@nexora.in,farm123,Shrivardhan,Raigad
Radhika Hande,8696455864,radhikahande@nexora.in,farm123,Borivali,Mumbai Suburban
Ganesh Sathe,6798009646,ganeshsathe@nexora.in,farm123,Bhamragad,Gadchiroli
Sopan More,7896161518,sopanmore@nexora.in,farm123,Mhasala,Raigad
Neelam Salunkhe,9034715155,neelamsalunkhe2@nexora.in,farm123,Kopargaon,Ahilyanagar (Ahmednagar)
Shrikant Jare,6996292330,shrikantjare2@nexora.in,farm123,Miraj,Sangli
Snehal Jagtap,8456702320,snehaljagtap@nexora.in,farm123,Bodwad,Jalgaon
Bharat Sable,7620183707,bharatsable@nexora.in,farm123,Ambarnath,Thane
Sopan Patil,8234981426,sopanpatil@nexora.in,farm123,Lonar,Buldhana
Madhukar Solanke,9557279073,madhukarsolank@nexora.in,farm123,Fort,Mumbai City
Sindhu Mhaske,6611841888,sindhumhaske@nexora.in,farm123,Saoli,Chandrapur
Tukaram Joshi,6177119707,tukaramjoshi@nexora.in,farm123,Daryapur,Amravati
Bapurao Ohol,9908077274,bapuraoohol@nexora.in,farm123,Aundha Nagnath,Hingoli
Archana Takawale,9933630155,archanatakawal@nexora.in,farm123,Hingoli,Hingoli
Jagdish Shelke,7021930439,jagdishshelke@nexora.in,farm123,Gondpimpri,Chandrapur
Shrikant Adsul,7024621769,shrikantadsul@nexora.in,farm123,Partur,Jalna
Rupali Wagh,8233201396,rupaliwagh@nexora.in,farm123,Gangapur,Chhatrapati Sambhajinagar (Aurangabad)
Vasudev Shinde,9701770319,vasudevshinde@nexora.in,farm123,Sillod,Chhatrapati Sambhajinagar (Aurangabad)
Ravindra Rathod,7406883825,ravindrarathod@nexora.in,farm123,Kalamb,Dharashiv (Osmanabad)
Pandurang Sable,6381913507,pandurangsable@nexora.in,farm123,Kavathemahankal,Sangli
Swati Pardeshi,7508535640,swatipardeshi@nexora.in,farm123,Bhusawal,Jalgaon
Sunil Gaikwad,6084255677,sunilgaikwad@nexora.in,farm123,Sindkhed Raja,Buldhana
Govind Holkar,8297935452,govindholkar@nexora.in,farm123,Akot,Akola
Chandrakant Khedkar,9716308353,chandrakantkhe@nexora.in,farm123,Satara,Satara
Ramesh Bhosale,7591317590,rameshbhosale@nexora.in,farm123,Rahata,Ahilyanagar (Ahmednagar)
Madhuri Mane,8169679712,madhurimane2@nexora.in,farm123,Dhamangaon,Amravati
Nanda Shinde,7285386793,nandashinde@nexora.in,farm123,Malshiras,Solapur
Kailas Kachare,8656851377,kailaskachare@nexora.in,farm123,Majalgaon,Beed
Balasaheb Bhosale,9684426006,balasahebbhosa@nexora.in,farm123,Washim,Washim
Balasaheb Kadam,6603492840,balasahebkadam@nexora.in,farm123,Jalgaon,Jalgaon
Umesh Ubale,9656574020,umeshubale@nexora.in,farm123,Parel,Mumbai City
Pooja Thorat,8115694427,poojathorat@nexora.in,farm123,Talasari,Palghar
Narayan Jagtap,8653925804,narayanjagtap@nexora.in,farm123,Chikhli,Buldhana
Ramchandra Yeole,9582546320,ramchandrayeol@nexora.in,farm123,Chikhaldara,Amravati
Pravin Mahajan,8579934474,pravinmahajan@nexora.in,farm123,Lohara,Dharashiv (Osmanabad)
Sunita Solanke,8247796404,sunitasolanke@nexora.in,farm123,Guhagar,Ratnagiri
Suresh Nikam,8757106883,sureshnikam@nexora.in,farm123,Lanja,Ratnagiri
Zaheer Ghule,9734513892,zaheerghule@nexora.in,farm123,Karmala,Solapur
Anand Kale,6854665847,anandkale@nexora.in,farm123,Dharur,Beed
Jagdish Gaikwad,7152794876,jagdishgaikwad@nexora.in,farm123,Nandura,Buldhana
Deepak Dhumal,7708347076,deepakdhumal@nexora.in,farm123,Malegaon,Washim
Swati Chavhan,6650088788,swatichavhan2@nexora.in,farm123,Malad,Mumbai Suburban
Sopan Gadhave,7675116639,sopangadhave@nexora.in,farm123,Solapur North,Solapur
Rahul Yeole,6947314500,rahulyeole@nexora.in,farm123,Pathri,Parbhani
Rahul Salunkhe,9207939438,rahulsalunkhe@nexora.in,farm123,Muktainagar,Jalgaon
Gopal Mahajan,6622803835,gopalmahajan@nexora.in,farm123,Bhandara,Bhandara
Snehal Randhawa,6899011218,snehalrandhawa@nexora.in,farm123,Malwan,Sindhudurg
Archana Zende,8845590952,archanazende@nexora.in,farm123,Tuljapur,Dharashiv (Osmanabad)
Jagdish Vibhute,7286182580,jagdishvibhute@nexora.in,farm123,Karanja,Washim
Ashok Bhosale,7095714708,ashokbhosale@nexora.in,farm123,Vaibhavwadi,Sindhudurg
Ganesh Chavan,6965583087,ganeshchavan@nexora.in,farm123,Karjat,Ahilyanagar (Ahmednagar)
Pravin Rathod,8906862775,pravinrathod@nexora.in,farm123,Dhule,Dhule
Manisha Solanke,8361197403,manishasolanke@nexora.in,farm123,Phaltan,Satara
Suresh Vibhute,6644688597,sureshvibhute@nexora.in,farm123,Manwath,Parbhani
Mangal Takawale,9834385141,mangaltakawale@nexora.in,farm123,Mantha,Jalna
Jyoti Chavhan,6458754730,jyotichavhan2@nexora.in,farm123,Jamner,Jalgaon
Jagdish Yadav,6849104819,jagdishyadav@nexora.in,farm123,Bhusawal,Jalgaon
Pooja Kulkarni,8011553802,poojakulkarni2@nexora.in,farm123,Khuldabad,Chhatrapati Sambhajinagar (Aurangabad)
Vishal Sathe,7379425336,vishalsathe2@nexora.in,farm123,Khatav,Satara
Vijay Hiwale,7042041818,vijayhiwale@nexora.in,farm123,Himayatnagar,Nanded
Manohar Lokhande,8833928291,manoharlokhand@nexora.in,farm123,Nilanga,Latur
Vandana Mahajan,6848908119,vandanamahajan@nexora.in,farm123,Renapur,Latur
Yogesh Jagtap,8386931753,yogeshjagtap@nexora.in,farm123,Pathardi,Ahilyanagar (Ahmednagar)
Bharat Bhagat,8441042185,bharatbhagat@nexora.in,farm123,Murbad,Thane
Usha Lokhande,9955186475,ushalokhande@nexora.in,farm123,Dahanu,Palghar
Manohar Rasal,9424449244,manoharrasal2@nexora.in,farm123,Jat,Sangli
Vasant More,9342092969,vasantmore@nexora.in,farm123,Anjangaon-Surji,Amravati
Rajendra Ubale,9774963262,rajendraubale@nexora.in,farm123,Umarga,Dharashiv (Osmanabad)
Amol Ubale,8488813553,amolubale2@nexora.in,farm123,Walwa,Sangli
Deepak More,7065652622,deepakmore@nexora.in,farm123,Barshi,Solapur
Bhausaheb Chougule,9564755477,bhausahebchoug@nexora.in,farm123,Byculla,Mumbai City
Balasaheb Hiwale,9120612962,balasahebhiwal@nexora.in,farm123,Yawal,Jalgaon
Sunanda Zaware,7783929814,sunandazaware@nexora.in,farm123,Parli,Beed
Tanaji Gawali,6930432915,tanajigawali@nexora.in,farm123,Solapur South,Solapur
Manisha Kachare,6189497850,manishakachare@nexora.in,farm123,Chandgad,Kolhapur
Pooja Mane,6425089265,poojamane@nexora.in,farm123,Hinganghat,Wardha
Umesh Sable,6880393294,umeshsable@nexora.in,farm123,Khamgaon,Buldhana
Krushna Bhandare,8022541663,krushnabhandar@nexora.in,farm123,Madha,Solapur
Rupali Bhagat,6076348596,rupalibhagat@nexora.in,farm123,Jamkhed,Ahilyanagar (Ahmednagar)
Radhika More,8780025562,radhikamore@nexora.in,farm123,Yavatmal,Yavatmal
Yashwant Chavhan,8719886012,yashwantchavha@nexora.in,farm123,Jalkot,Latur
Ashok Sable,7903626876,ashoksable@nexora.in,farm123,Mouda,Nagpur
Raghunath Nalawade,7584907445,raghunathnalaw@nexora.in,farm123,Khandala,Satara
Sunita Joshi,6650181712,sunitajoshi@nexora.in,farm123,Sudhagad-Pali,Raigad
Swati Joshi,6840466949,swatijoshi@nexora.in,farm123,Patur,Akola
Dattatray Kadam,7080675672,dattatraykadam@nexora.in,farm123,Lanja,Ratnagiri
Popat Jagtap,8071426691,popatjagtap@nexora.in,farm123,Wadwani,Beed
Popat Kadam,9484429769,popatkadam@nexora.in,farm123,Kurla,Mumbai Suburban
Radhika Adsul,8561000636,radhikaadsul@nexora.in,farm123,Mohadi,Bhandara
Neelam Rane,6067537528,neelamrane@nexora.in,farm123,Phulambri,Chhatrapati Sambhajinagar (Aurangabad)
Snehal Naikwadi,6941292748,snehalnaikwadi@nexora.in,farm123,Patoda,Beed
Yashwant Tupe,7513767451,yashwanttupe@nexora.in,farm123,Dhanora,Gadchiroli
Ramesh Fadnavis,7850680449,rameshfadnavis@nexora.in,farm123,Armori,Gadchiroli
Bhausaheb Ohol,7069156116,bhausahebohol@nexora.in,farm123,Dharur,Beed
Deepak Chavan,8392126443,deepakchavan@nexora.in,farm123,Kannad,Chhatrapati Sambhajinagar (Aurangabad)
Sadashiv Zende,7743744993,sadashivzende@nexora.in,farm123,Chimur,Chandrapur
Ramchandra Powar,6770934382,ramchandrapowa@nexora.in,farm123,Hatkanangale,Kolhapur
Laxman Wagh,6927030842,laxmanwagh@nexora.in,farm123,Paithan,Chhatrapati Sambhajinagar (Aurangabad)
Gopichand Ubhe,7434037218,gopichandubhe@nexora.in,farm123,Haveli,Pune
Manisha Bhagat,9032279143,manishabhagat@nexora.in,farm123,Shahuwadi,Kolhapur
Nanda Patil,8455710470,nandapatil@nexora.in,farm123,Jalkot,Latur
Ashok Chougule,7891541243,ashokchougule@nexora.in,farm123,Sadak-Arjuni,Gondia
Vithal Dhumal,9281536139,vithaldhumal@nexora.in,farm123,Navapur,Nandurbar
Namdev Ghule,6683203325,namdevghule@nexora.in,farm123,Nashik,Nashik
Vasudev Joshi,9325636798,vasudevjoshi@nexora.in,farm123,Ashti,Wardha
Uttam Sathe,9566010065,uttamsathe@nexora.in,farm123,Jalgaon,Jalgaon
Eknath Nalawade,9540016748,eknathnalawade@nexora.in,farm123,Nagpur Rural,Nagpur
Neelam Dhumal,9581739587,neelamdhumal@nexora.in,farm123,Ambad,Jalna
Anita Hande,8350329074,anitahande@nexora.in,farm123,Kudal,Sindhudurg
Manisha Shelke,8607337063,manishashelke@nexora.in,farm123,Purna,Parbhani
Usha Zende,6258425880,ushazende2@nexora.in,farm123,Vikramgad,Palghar
Nitin Dabhade,6469305163,nitindabhade@nexora.in,farm123,Junnar,Pune
Raghunath Yeole,7381501628,raghunathyeole3@nexora.in,farm123,Mokhada,Palghar
Dattatray Patil,7747397902,dattatraypatil@nexora.in,farm123,Mandangad,Ratnagiri
Kalpana Joshi,6441860101,kalpanajoshi@nexora.in,farm123,Kalamb,Dharashiv (Osmanabad)
Krushna Adsul,6198520054,krushnaadsul@nexora.in,farm123,Talode,Nandurbar
Dattatray Zende,9998835942,dattatrayzende@nexora.in,farm123,Maan,Satara
Ishwar Borate,9244079705,ishwarborate@nexora.in,farm123,Gadchiroli,Gadchiroli
Baban Ohol,6549396868,babanohol@nexora.in,farm123,Biloli,Nanded
Tanaji Kale,9697269229,tanajikale2@nexora.in,farm123,Kalwan,Nashik
Vithal Gadhave,7140316652,vithalgadhave@nexora.in,farm123,Nanded,Nanded
Popat Vhatkar,7784377059,popatvhatkar@nexora.in,farm123,Pathri,Parbhani
Jagdish Mhaske,9817014413,jagdishmhaske@nexora.in,farm123,Mahagaon,Yavatmal
Chhaya Suryawanshi,9060091483,chhayasuryawan@nexora.in,farm123,Jalgaon Jamod,Buldhana
Madhuri Mane,9447512151,madhurimane@nexora.in,farm123,Sakri,Dhule
Chandrakant Rasal,6288213466,chandrakantras@nexora.in,farm123,Parner,Ahilyanagar (Ahmednagar)
Shrikant Dhumal,7948563090,shrikantdhumal@nexora.in,farm123,Pauni,Bhandara
Yogesh Rasal,6691349520,yogeshrasal@nexora.in,farm123,Katol,Nagpur
Vinod Shelke,6542648811,vinodshelke@nexora.in,farm123,Tiosa,Amravati
Dnyaneshwar Zaware,8875068333,dnyaneshwarzaw@nexora.in,farm123,Umarga,Dharashiv (Osmanabad)
Govind Rasal,6232731677,govindrasal2@nexora.in,farm123,Maval,Pune
Rahul Solanke,9600512834,rahulsolanke@nexora.in,farm123,Bhadravati,Chandrapur
Gopal Lokhande,7195351561,gopallokhande@nexora.in,farm123,Alibag,Raigad
Madhuri Bhandare,9788856052,madhuribhandar@nexora.in,farm123,Ulhasnagar,Thane
Anand Mhaske,6808848652,anandmhaske@nexora.in,farm123,Mantha,Jalna
Kalpana Kadam,7145465682,kalpanakadam3@nexora.in,farm123,Chikhli,Buldhana
Sarika Pardeshi,9321207582,sarikapardeshi@nexora.in,farm123,Sudhagad-Pali,Raigad
Yamuna Hiwale,8294341226,yamunahiwale@nexora.in,farm123,Yeola,Nashik
Bharat Kale,8391833159,bharatkale2@nexora.in,farm123,Umarga,Dharashiv (Osmanabad)
Ashok Deshmukh,9478519187,ashokdeshmukh@nexora.in,farm123,Dadar,Mumbai City
Pooja Jadhav,8908306951,poojajadhav@nexora.in,farm123,Nandura,Buldhana
Vandana Chavan,8041407065,vandanachavan@nexora.in,farm123,Parola,Jalgaon
Sachin Kulkarni,7299458979,sachinkulkarni@nexora.in,farm123,Kelapur,Yavatmal
Rekha Gadhave,7793965535,rekhagadhave@nexora.in,farm123,Nandurbar,Nandurbar
Jyoti Jadhav,9548423790,jyotijadhav@nexora.in,farm123,Dhule,Dhule
Pooja Kulkarni,9963274535,poojakulkarni@nexora.in,farm123,Amgaon,Gondia
Ganesh Pardeshi,7365121188,ganeshpardeshi2@nexora.in,farm123,Dhadgaon,Nandurbar
Bharat Chavhan,8872323346,bharatchavhan@nexora.in,farm123,Colaba,Mumbai City
Pandurang Nikam,7014618567,pandurangnikam@nexora.in,farm123,Pachora,Jalgaon
Sadashiv Zende,9273506091,sadashivzende3@nexora.in,farm123,Igatpuri,Nashik
Chandrakant Hiwale,8885291183,chandrakanthiw@nexora.in,farm123,Sengaon,Hingoli
Vijay Wagh,8925069433,vijaywagh@nexora.in,farm123,Murtajapur,Akola
Rupali Naikwadi,6391439107,rupalinaikwadi@nexora.in,farm123,Karmala,Solapur
Sunanda Pardeshi,7875424149,sunandapardesh@nexora.in,farm123,Sangrampur,Buldhana
Balasaheb Shinde,8161454135,balasahebshind@nexora.in,farm123,Murtajapur,Akola
Shankar Rasal,6937592803,shankarrasal@nexora.in,farm123,Vengurla,Sindhudurg
Dilip Rathod,9228176930,diliprathod@nexora.in,farm123,Warud,Amravati
Kailas Mhaske,8751451331,kailasmhaske@nexora.in,farm123,Bandra,Mumbai Suburban
Kamal Fadnavis,6359488906,kamalfadnavis@nexora.in,farm123,Murud,Raigad
Umesh Borate,9652764761,umeshborate@nexora.in,farm123,Sangole,Solapur
Rupali Ubale,7280262553,rupaliubale@nexora.in,farm123,Uran,Raigad
Archana Dhumal,6309718932,archanadhumal@nexora.in,farm123,Tuljapur,Dharashiv (Osmanabad)
Govind Chavhan,6275870790,govindchavhan@nexora.in,farm123,Guhagar,Ratnagiri
Shobha Sathe,8898849305,shobhasathe@nexora.in,farm123,Mokhada,Palghar
Popat Chavhan,9552741687,popatchavhan@nexora.in,farm123,Shrivardhan,Raigad
Raghunath Randhawa,7909962112,raghunathrandh@nexora.in,farm123,Gangapur,Chhatrapati Sambhajinagar (Aurangabad)
Sadashiv Bhandare,6521143118,sadashivbhanda@nexora.in,farm123,Aundha Nagnath,Hingoli
Sunil Sathe,9377657116,sunilsathe@nexora.in,farm123,Bandra,Mumbai Suburban
Snehal Ubale,8956107315,snehalubale@nexora.in,farm123,Achalpur,Amravati
Nanda Dhumal,8515979956,nandadhumal@nexora.in,farm123,Deoli,Wardha
Vandana Holkar,9767720940,vandanaholkar@nexora.in,farm123,Wai,Satara
Swati Hande,9027795102,swatihande2@nexora.in,farm123,Arjuni-Morgaon,Gondia
Keshav Wagh,6727052780,keshavwagh@nexora.in,farm123,Loha,Nanded
Vandana Dhumal,8041027109,vandanadhumal@nexora.in,farm123,Sindkheda,Dhule
Anand Pawar,8258940044,anandpawar@nexora.in,farm123,Maval,Pune
Deepak Bhosale,7569759775,deepakbhosale@nexora.in,farm123,Sillod,Chhatrapati Sambhajinagar (Aurangabad)
Rajendra Salunkhe,9863528645,rajendrasalunk@nexora.in,farm123,Sawantwadi,Sindhudurg
Swati Hiwale,9514353664,swatihiwale@nexora.in,farm123,Khed,Ratnagiri
